marca,nombre,precio,almacenamiento,pantalla,camara
Apple,iPhone 14 128GB ,$834.990,128 GB,6.1,12 + 12 MP
Xiaomi,Redmi Note 12 128GB ,$179.990,128 GB,667.0,50 + 8 + 2 MP
Samsung,Galaxy S22 5G 256GB ,$574.990,256 GB,6.1,50 + 12 + 10 MP
Apple,iPhone 13 128GB,$699.990,128 GB,6.1,12 + 12 MP
Samsung,Galaxy A54 5G 128GB,$349.990,128 GB,64.0,50 + 12 + 5 MP
Apple,iPhone 12 Pro 128GB Seminuevo ,$619.990,128 GB,61.0,12 + 12 + 12 MP
Motorola,Moto G53 (5G) 128GB,$164.990,128 GB,6.52,Dual 50 MP + 8 MP 2
Samsung,Galaxy S23 Ultra 5G 512GB ,$1.169.990,512 GB,0.0,200 + 12 + 10 + 10 MP
Apple,iPhone 14 Pro 256GB ,$1.229.990,256 GB,6.1,48 + 12 + 12 MP
Xiaomi,Redmi 10 2022 128GB,$144.990,128 GB,65.0,50 + 8 + 2 + 2 MP
Motorola,Moto G13 128GB,$119.990,128 GB,652.0,50 + 2 + 2 MP
Apple,iPhone 11 128 GB,$479.990,128 GB,6.1,12 + 12 MP
Samsung,Galaxy S21 FE 5G 256GB,$464.990,256 GB,6.4,12 + 12 + 8 MP
Motorola,Moto E22i 64GB,$88.990,64 GB,6.5,16 + 2 MP
Xiaomi,Redmi Note 11 Pro 5G 128GB,$279.990,128 GB,6.67,108 + 8 + 2 + 2 MP
Apple,iPhone 14 Pro Max 128GB ,$1.209.990,128 GB,67.0,48 + 12 + 12 MP
Xiaomi,Redmi Note 11s 5G 128GB Seminuevo,$199.990,128 GB,0.0,50 + 8 + 2 MP
Samsung,Galaxy A14 5G 128GB,$179.990,128 GB,6.6,50 + 2 + 2 MP
Xiaomi,Redmi 10 5G 128GB,$154.990,128 GB,6.58,50 + 2 MP
Apple,iPhone 11 64GB,$404.990,64 GB,6.1,12 + 12 MP
Samsung,Galaxy S23 5G 128GB ,$729.990,128 GB,6.1,50 + 12 + 10 MP
Xiaomi,Redmi Note 12 Pro 5G 256GB,$349.990,256 GB,6.67,50 + 8 + 2 MP
Apple,iPhone 12 128GB Seminuevo,$575.760,128 GB,61.0,12 + 12 MP
Apple,iPhone 12 128GB ,$719.990,128 GB,61.0,12 + 12 MP
